"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2011","2011",21218,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2012","2012",21642,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2013","2013",22073,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2014","2014",22456,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2015","2015",22791,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2016","2016",23118,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2017","2017",23347,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2018","2018",23489,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2019","2019",23738,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2020","2020",23935,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2021","2021",24252,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2010","2010",97833,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2011","2011",99129,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2012","2012",100536,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2013","2013",101926,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2014","2014",103507,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2015","2015",105839,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2016","2016",107629,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2017","2017",109838,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2018","2018",111994,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2019","2019",114613,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2020","2020",116562,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2021","2021",118010,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2010","2010",213442,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2011","2011",199085,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2012","2012",201075,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2013","2013",203227,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2014","2014",205018,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2015","2015",206688,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2016","2016",208245,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2017","2017",210017,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2018","2018",210549,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2019","2019",213180,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2020","2020",214293,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2021","2021",215722,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2010","2010",524693,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2011","2011",537940,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2012","2012",558687,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2013","2013",573328,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2014","2014",586415,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2015","2015",598687,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2016","2016",608388,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2017","2017",615515,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2018","2018",623598,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2019","2019",631140,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2020","2020",637644,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2021","2021",654064,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2010","2010",305093,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2011","2011",312695,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2012","2012",318887,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2013","2013",326945,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2014","2014",334277,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2015","2015",339728,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2016","2016",346390,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2017","2017",352869,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2018","2018",359099,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2019","2019",367100,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2020","2020",373298,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2021","2021",378629,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2012","2012",820000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2013","2013",850000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2014","2014",868000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2015","2015",876000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2016","2016",895000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2017","2017",916000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2018","2018",955000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2019","2019",980000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2020","2020",1001000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2021","2021",1001000,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2010","2010",33770,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2011","2011",32966,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2012","2012",33454,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2013","2013",32668,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2014","2014",32791,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2015","2015",30486,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2016","2016",31515,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2017","2017",32543,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2018","2018",33078,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2019","2019",34137,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2020","2020",30610,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2021","2021",32026,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2013","2013",53323,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2014","2014",60216,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2015","2015",59273,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2016","2016",61167,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2017","2017",63739,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2018","2018",64695,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2019","2019",64722,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2020","2020",64197,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2021","2021",64678,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2011","2011",18812,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2012","2012",18184,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2013","2013",18160,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2014","2014",19066,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2015","2015",20454,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2016","2016",21920,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2017","2017",22693,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2018","2018",23012,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2019","2019",23574,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2020","2020",25005,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2021","2021",25959,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2021","2021",64072,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2022","2022",67808,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2010","2010",390664,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2011","2011",397859,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2012","2012",405624,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2013","2013",414448,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2014","2014",424813,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2015","2015",428401,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2016","2016",433283,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2017","2017",444968,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2018","2018",449781,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2019","2019",449571,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2020","2020",454311,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2021","2021",455090,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2022","2022",455204,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2010","2010",49013,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2011","2011",51939,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2012","2012",54511,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2013","2013",55681,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2014","2014",57762,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2015","2015",59144,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2016","2016",60233,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2017","2017",61730,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2018","2018",63278,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2019","2019",65121,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2020","2020",67100,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2021","2021",68363,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2010","2010",195340,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2011","2011",198694,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2012","2012",203261,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2013","2013",205514,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2014","2014",174285,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2015","2015",178340,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2016","2016",181685,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2017","2017",187345,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2018","2018",192263,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2019","2019",186801,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2020","2020",193380,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2021","2021",199506,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2010","2010",13621,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2011","2011",14039,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2012","2012",14272,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2013","2013",14563,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2014","2014",14786,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2015","2015",15210,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2016","2016",15764,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2017","2017",16368,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2018","2018",17025,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2019","2019",17697,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2020","2020",17635,"B","Break"
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2021","2021",18227,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2022","2022",18753,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2010","2010",42334,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2011","2011",44384,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2012","2012",44190,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2013","2013",44714,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2014","2014",45572,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2015","2015",47120,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2016","2016",48256,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2017","2017",48743,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2018","2018",50057,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2019","2019",50976,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2020","2020",53933,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2021","2021",55802,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2022","2022",58261,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2010","2010",20061,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2011","2011",20681,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2012","2012",21185,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2013","2013",21821,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2014","2014",22692,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2015","2015",23040,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2016","2016",23917,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2017","2017",24906,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2018","2018",25700,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2019","2019",26452,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2020","2020",27237,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2021","2021",27781,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2010","2010",81405,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2011","2011",83851,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2012","2012",85618,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2013","2013",87390,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2014","2014",89558,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2015","2015",92673,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2016","2016",94352,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2017","2017",96062,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2018","2018",96949,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2019","2019",98487,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2020","2020",99749,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2021","2021",101927,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2010","2010",121597,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2011","2011",123281,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2012","2012",125073,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2013","2013",127183,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2014","2014",129031,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2015","2015",131059,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2016","2016",133283,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2017","2017",135468,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2018","2018",138036,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2019","2019",140589,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2020","2020",142718,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2021","2021",146107,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2010","2010",274181,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2011","2011",275652,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2012","2012",278496,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2015","2015",285390,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2016","2016",288395,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2017","2017",291790,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2018","2018",295437,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2019","2019",299619,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2020","2020",303211,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2021","2021",307832,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2010","2010",62566,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2011","2011",64535,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2012","2012",65467,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2013","2013",65868,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2014","2014",66473,,
"SVK","Slovak Republic","TNBD","Total number of doctors","TOT","Total","2010","2010",16575,,
"SVK","Slovak Republic","TNBD","Total number of doctors","TOT","Total","2011","2011",16899,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2010","2010",36524,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2011","2011",37499,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2012","2012",38541,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2013","2013",39638,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2014","2014",40637,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2015","2015",40900,"B","Break"
